Deliverable 1
Alpha: 0.0
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.01,-274.6375991596615,447.43108794689175,168.0107759365891,24.646524475607862,-10.931217213824334,-3.492399529075279,-5.200226897236381,127.95495709102586,-3.403625700683821,0,0
0.1,-274.63711376740895,447.4451116498112,167.9962534273591,24.647051816704952,-10.931116575975224,-3.492360257200992,-5.2001002094486894,127.9549122057643,-3.4034281791552607,0,0
1.0,-274.63186722302447,447.4259173158636,168.01010134385868,24.645510357571183,-10.93032469768277,-3.491140592453035,-5.198826244163716,127.9534902086986,-3.4025431603579377,0,0
10.0,-274.5795816205169,447.30700187607135,168.07571675419345,24.633217333035518,-10.922307662452848,-3.479322729478126,-5.186089837717402,127.93971598907756,-3.393193605395708,0,0
100.0,-274.0563552682094,445.96746926069636,168.8819110694335,24.503859192951413,-10.842339630179666,-3.360364111000595,-5.05871908829735,127.80105590742265,-3.3007263465774614,0,0
1000.0,-268.82471923091464,432.826945306463,176.68962474196795,23.221169274550768,-10.042316494582407,-2.172099546117921,-3.785022921147661,126.4160103641979,-2.3743114132398593,0,0
10000.0,-216.98593878369047,301.2507313827621,255.43382113407034,9.61782749280938,-2.3902378569940637,0.0,0.0,113.2068520699061,0.0,0,0
100000.0,0.0,0.0,271.5626995736837,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"
"
"
"
"
"
"
"
"
"
"
"
"
"
Alpha: 0.2
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.01,-274.63111017245336,447.0913196977938,168.3444975280868,24.63227078868152,-10.93210990255757,-3.490548617012582,-5.200028503385703,127.9520957124625,-3.4060383511108037,0,0
0.1,-274.5719952866428,444.0825675417937,171.29801325968361,24.506050797049202,-10.940011749615707,-3.4740351448706774,-5.198109809298466,127.92650737943892,-3.4273112486554793,0,0
1.0,-273.9703382802124,419.800739334006,195.0092176118939,23.494686575158223,-11.01243018823664,-3.3391562554338545,-5.178551217448414,127.70563633092553,-3.6000853574981884,0,0
10.0,-267.7389835676476,345.75566437914676,262.9011224327545,20.66552754894539,-11.535368033764543,-2.8710995362150986,-4.975115279863088,126.51979167977396,-4.164821251117046,0,0
100.0,-214.31949985379543,282.69041234341074,271.5152855920821,20.841498901568837,-14.939814118323097,-1.862498164571742,-3.2316854287000325,119.35610487941342,-4.973048874042459,0,0
1000.0,-35.7909423066504,170.47248164583024,169.96546382832398,20.0310381011457,-16.954157125419805,0.0,1.035940680797522,79.74743969132065,-4.537825954139934,0,0
10000.0,19.815232244600704,52.87653412644642,53.003072674259975,4.532723949692374,-0.5144164272506067,0.0,0.0,18.179403725325937,0.0,0,0
100000.0,2.037795527832384,5.655106908772765,5.672810301941839,0.0,0.0,0.0,0.0,0.3714152711938451,0.0,0,0
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"
"
"
"
"
"
"
"
"
"
"
"
"
"
Alpha: 0.4
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.01,-274.62465716810095,446.7689014888497,168.6608995843783,24.61875945160374,-10.932979580774763,-3.488787734490246,-5.199830709016052,127.94934011796116,-3.408332293480181,0,0
0.1,-274.506654593091,440.8999342542656,174.41942885637715,24.37281154791827,-10.948697641995256,-3.456646909660924,-5.1961104646745335,127.89918908468391,-3.449957373751496,0,0
1.0,-273.2935005794881,401.17192253234015,212.98460965659027,22.732468749692806,-11.084211027409548,-3.234065542930551,-5.157730138780672,127.51208636083547,-3.7356995590806066,0,0
10.0,-260.9894319613164,325.34021230985525,276.5490795294756,20.184395339006077,-12.030463646468165,-2.6890750267407952,-4.766722168962654,125.60320547919697,-4.37350528952963,0,0
100.0,-171.34971517937754,257.12032419945024,251.62529708540723,21.81180971505499,-17.172293527540365,-1.3065391900767969,-1.947444519135732,112.84150754853871,-5.408703266991141,0,0
1000.0,2.616183032556824,131.60314287819745,131.59833663531174,16.372379919484366,-12.457985881924388,0.0,1.9634873361747163,59.43475342806482,-3.5433938706522454,0,0
10000.0,14.131994108812512,31.420251268504057,31.49371751472006,2.793545270745886,-0.033840981547174555,0.0,0.13117362155119772,10.134267363532327,0.0,0,0
100000.0,1.3160978032705906,3.1337113158721475,3.142555623309496,0.0,0.0,0.0,0.0,0.4350104000936407,0.0,0,0
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"
"
"
"
"
"
"
"
"
"
"
"
"
"
Alpha: 0.6
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.01,-274.61812360266885,446.4169055313476,169.006803199653,24.603984646659406,-10.933889436088286,-3.486873478881321,-5.199631402890409,127.94640384893825,-3.4108284128276427,0,0
0.1,-274.441032376759,437.8546951855962,177.40297779052713,24.245511871927935,-10.957229115342356,-3.4399748060179154,-5.194101454391892,127.87269867084412,-3.4716576908275214,0,0
1.0,-272.61011171956466,387.90588302708477,225.5837443899046,22.201655819121406,-11.149643465788925,-3.1569363873710725,-5.136657180789407,127.35099825192867,-3.8343909232352784,0,0
10.0,-254.46885265228502,314.9469876641921,280.3682134831012,20.116483451811135,-12.488063966117442,-2.5626216248123512,-4.565715735283039,124.761508754499,-4.508741782186625,0,0
100.0,-139.20125158621974,238.39066211518337,234.9065624620275,22.28668949157145,-18.389311706529316,-0.9254890998684356,-1.0133805807472955,107.17671055601448,-5.629137444866608,0,0
1000.0,15.864354008658271,109.71441506232054,109.81890633554512,13.672997976685238,-9.28854261331431,0.0,2.1168692679500483,47.502023048945894,-2.816621582088892,0,0
10000.0,10.760641093669301,22.48205036833947,22.53365558941981,2.1037488575159027,-0.03223872217083951,0.0,0.26377919775497977,7.121618627471791,0.0,0,0
100000.0,1.0549501398996233,2.2687222188276777,2.274616676061033,0.0,0.0,0.0,0.0,0.4565179763793936,0.0,0,0
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"
"
"
"
"
"
"
"
"
"
"
"
"
"
Alpha: 0.8
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.01,-274.61165864271817,446.09522870447967,169.3224481906737,24.59050648078726,-10.934758796775334,-3.4851165182551402,-5.1994332903556035,127.94365253832731,-3.413117147127344,0,0
